;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
518;01.41;18
519;45.19.39;570
520;84.11.3;1074
521;71.12.1;985
522;68.20.2;957
524;46.49;666
525;94.99;1170
526;01.1;0
527;10.81;136
528;32.5;474
529;30.30.11;455
530;10.91;150
531;46.47.1;664
532;10.82;139
533;73.20;1021
534;68.20;956
535;78.10;1044
537;10.82;139
538;68.20;956
539;84.11.21;1071
540;63.91;891
542;47.5;746
543;45.2;571
544;84.11.21;1071
546;90.04.2;1138
547;63.11;887
548;43.29;549
549;71.12;984
550;09.10.9;92
551;10.72;133
552;84.11.3;1074
553;84.23.18;1095
554;46.63;681
555;27.12;373
556;52.10.3;821
557;64.19;896
558;46.69.5;689
559;90.04;1136
560;52.29;845
561;01.11.1;2
562;70.22;980
563;84.11.21;1071
564;46.71;693
565;69;971
566;45.11;563
568;84.11.3;1074
569;93.19;1156
570;47.71;761
571;47.73;765
572;70.22;980
573;94.99;1170
574;84.11.21;1071
575;62.02;881
576;70.10.1;977
577;68.32;968
578;84.11.21;1071
579;47.23;731
580;84.23.18;1095
582;93.19;1156
584;11.05;158
585;82.92;1062
586;91.02;1141
587;64.19;896
588;45.20.2;574
589;46.69.2;686
590;52.21.22;830
591;84.23.32;1097
592;46.71;693
594;85.22;1109
595;92.1;1148
596;68.20;956
597;52.10;818
598;58;859
599;94.92;1169
600;93.1;1152
601;63.11.1;888
602;86.10;1121
603;01.11.1;2
604;84.11.3;1074
605;77.32;1034
606;93.19;1156
607;70.10.2;978
608;74.90.5;1028
609;23.13;255
610;64.99.1;909
611;94.20;1166
613;01.19;10
615;10.11;95
616;85.21;1108
618;09.10;89
619;71.12;984
620;26.60.5;366
621;10.52;124
622;55.10;851
623;52.23.19;841
624;52.21.22;830
625;61.10.1;874
626;60.10;870
627;84.12;1085
629;84.11.21;1071
630;52.22.1;834
632;69.10;972
633;35.12;493
634;72.19;1012
635;35.12;493
636;84.11.21;1071
637;70.10.1;977
638;23.31;260
640;01.11;1
641;84.11.12;1068
642;46.69;684
643;49.31.1;786
644;58.13;862
645;70.22;980
646;11.07.2;162
647;01.47;25
648;29.32.3;440
649;06.10.1;64
650;46.75.2;714
651;52.24;842
652;85.21;1108
653;63.11.1;888
654;52.22;833
655;84.11.4;1080
656;35.14;496
657;93.19;1156
658;41.20;528
659;43.31;551
660;70.22;980
661;72.20;1015
662;06.10.1;64
663;84.2;1087
664;10.86;144
665;96.09;1180
666;84.23.13;1093
667;71.11.1;983
669;22.29;250
670;85.14;1107
673;56.29;857
674;64.19;896
675;90.04.3;1139
676;25.40;320
677;55.1;850
678;64.19;896
679;46.34.1;626
680;56.10;855
681;68.31;960
682;55.90;853
683;64.20;897
684;26.30.17;350
686;35.11;488
687;21.10;238
688;09.10.9;92
689;25.21;312
690;64.99.7;916
691;03.1;43
692;46.69.2;686
693;24.10;284
694;09.10.1;90
695;69.20;973
696;90.04.3;1139
698;46.71;693
700;20.42;229
701;37.00;514
702;79.1;1047
703;66.12;930
704;68.20.2;957
705;35.14;496
706;25.29;314
707;68.32.2;970
708;52.24;842
709;64.19;896
710;85.42;1116
711;26.30.17;350
713;21.20.1;240
714;17.22;197
715;70.22;980
716;63.91;891
717;46.46.1;662
718;84.11.21;1071
720;49.3;784
721;52.24;842
722;01.46;24
723;64.92.7;907
724;10.13.2;101
725;62.09;885
726;07.29.41;76
727;52.10;818
728;64.19;896
729;23.99.2;279
730;84.11.3;1074
731;42.91;535
732;45.20;572
734;52.24;842
735;84.11.21;1071
736;46.33.1;622
737;72.19;1012
738;84.11.21;1071
739;10.51;119
740;77.39.1;1038
741;84.23.32;1097
742;22.19;244
743;36.00;511
744;84.11.21;1071
745;46.42;648
746;94.12;1164
747;28.92;424
748;93.1;1152
749;51.10.1;813
750;24.51;306
751;52.29;845
752;30.30;453
753;85.30;1111
754;01.50;31
755;35.30.2;506
756;25.11;310
758;24.53;308
759;94.20;1166
760;82.91;1061
761;01.47;25
763;62.01;880
764;20.13;210
765;84.11.3;1074
766;68.32;968
768;46.43.1;653
769;46.72;697
770;64.19;896
771;66.30;945
772;81.30;1058
773;79.11;1048
774;85.22;1109
775;85.42.9;1119
776;64.99;908
777;25.40;320
778;52.24;842
779;06.10.1;64
780;49.31.2;788
781;35.22;499
782;85.42;1116
783;49.41;797
784;70.10;976
785;94.99;1170
786;01.47;25
787;72.19;1012
788;10.52;124
789;06.10.1;64
790;72.1;1011
791;88.10;1131
792;43.21;547
793;06.10.1;64
794;10.71;131
795;11.05;158
796;10.13;99
797;07.29.3;73
798;84.11.12;1068
799;69.20.2;975
800;21.10;238
801;70.22;980
802;71.12.12;986
803;10.61.2;127
804;84.11.11;1067
805;58.13;862
806;33.12;480
807;46.73.3;704
808;33.12;480
809;52.29;845
810;86.90.4;1126
811;62.01;880
812;10.13.1;100
813;11.01.1;154
814;63.11.1;888
815;86.21;1122
816;43.99;555
817;20.16;219
818;86.23;1123
819;70.22;980
820;70.22;980
821;64.99;908
822;21.1;237
823;05.10.2;59
824;06.10.1;64
825;61.10;873
827;26.51.2;358
828;84.11.12;1068
829;41.2;527
830;72.19;1012
831;71.12;984
832;72.19;1012
833;84.11.21;1071
834;62.01;880
835;85.14;1107
836;56.10;855
837;94.20;1166
838;69.10;972
839;86.21;1122
840;73.11;1019
841;84.11.21;1071
842;71.12.3;990
843;10.51;119
844;46.72;697
845;46.18.2;603
846;46.73;702
847;45.31.1;579
848;01.11.1;2
849;27.12;373
850;70.22;980
851;35.30.2;506
852;46.46.2;663
853;10.91;150
854;94.11;1163
855;27.12;373
856;66.30.6;947
857;35.13;495
858;72.19;1012
860;26.51.1;357
861;46.71;693
862;84.11.12;1068
863;94.99;1170
864;27.11.1;372
865;85.22;1109
866;17.23;198
867;86.10;1121
868;45.19;567
869;85.21;1108
870;43.22;548
871;36.0;510
872;29.32;439
873;85.22;1109
874;85.14;1107
875;28.99;427
876;84.11.21;1071
877;46.21;607
878;64.19;896
879;84.11.8;1084
880;93.11;1153
881;45.11.2;565
882;10.82.2;140
883;41.20;528
884;19.20.2;206
885;84.11.21;1071
886;49.39.2;795
887;72.19;1012
889;49.41;797
890;46.19;605
891;10.61.3;128
892;63.12;889
893;10.82;139
894;49.20;783
895;10.51.2;121
896;62.09;885
897;16.21.1;186
898;01.13;3
899;70.10.2;978
900;10.73.1;134
901;70.22;980
902;84.23.17;1094
904;46.33.3;624
905;47.19.1;727
906;94.12;1164
908;72.19;1012
909;13.95;169
910;94.11;1163
911;88.10;1131
912;66.30;945
913;26.20;344
914;25.93.2;331
916;70.22;980
917;93.19;1156
918;96.04;1179
919;94.20;1166
920;46.39;643
922;85.22;1109
923;25.62;324
924;70.22;980
925;65.11;918
926;85.22;1109
927;49.31.21;789
928;70.22;980
929;84.11.3;1074
930;62.01;880
931;68.10;950
932;10.13.2;101
933;71.12.6;997
934;01.11.1;2
935;84.11.21;1071
937;58;859
938;93.1;1152
939;06.10.1;64
940;01.11.1;2
941;64.99;908
942;70.22;980
943;84.11.3;1074
944;63.11.1;888
946;01.11.1;2
947;70.22;980
948;62.01;880
949;20.15;216
950;36.00.2;513
951;73.11;1019
953;77.11;1031
954;68.20;956
955;84.11.13;1069
956;82.91;1061
957;85.21;1108
959;85.22;1109
960;58.13;862
961;24.5;305
962;46.73.1;703
963;46.69.5;689
964;45.11.2;565
965;50.30;808
966;35.30;502
967;68.32.2;970
968;52.21.22;830
970;72.19;1012
971;62.01;880
972;70.10.1;977
973;71.12;984
974;49.20;783
975;72.19;1012
977;88.99;1132
978;33.12;480
979;02.40;40
980;70.22;980
981;85.22;1109
982;45.31;578
983;27.40;380
984;22.21;247
985;70.10.1;977
986;52.21.22;830
987;46.49.49;671
988;02.10;38
989;10.20;106
990;70.22;980
991;10.51;119
993;71.12.1;985
994;19.20;205
995;26.51.7;362
996;64.20;897
997;08.12;83
998;90.04.3;1139
999;68.20.2;957
1000;53.20.3;849
1001;84.25.9;1102
1002;84.11.21;1071
1003;84.23.18;1095
1004;43.12.3;543
1005;35.30.14;505
1006;10.82.2;140
1007;84.23.13;1093
1008;71.11.1;983
1009;85.21;1108
1010;62.01;880
1011;85.14;1107
1013;46.69.5;689
1014;73.20;1021
1015;27.33;379
1016;41.20;528
1017;06.10.1;64
1018;64.99.1;909
1019;35.11.1;489
1020;85.22;1109
1021;72.19;1012
1022;23.61;271
1023;10.41.5;116
1024;64.19;896
1025;84.11.21;1071
1026;68.20.2;957
1027;72.20;1015
1028;56.10.1;856
1029;41.2;527
1030;01.25.1;15
1031;35.11.1;489
1032;69.10;972
1034;47.73;765
1035;12.00;163
1036;93.19;1156
1037;01.47;25
1038;35.30.14;505
1039;73.11;1019
1040;84.11.21;1071
1041;84.11.21;1071
1042;84.11.21;1071
1043;84.11.22;1072
1044;21.20.1;240
1046;62.01;880
1047;16.10;181
1048;72.19;1012
1049;22.1;242
1050;26.11.3;340
1051;46.71.2;695
1052;71.12.3;990
1053;62.02;881
1054;49.4;796
1055;06.10.1;64
1056;27.40;380
1057;63.91;891
1058;68.20.2;957
1060;64.91;900
1061;41.20;528
